name,l_mean,l_std,l_entropy,a_mean,a_std,a_entropy,b_mean,b_std,b_entropy,curvature_mean,curvature_std,curvature_entropy,curvature_ggd1,curvature_ggd2,curvature_aggd1,curvature_aggd2,curvature_aggd3,curvature_aggd4,curvature_gamma1,curvature_gamma2,anisotropy_mean,anisotropy_std,anisotropy_entropy,anisotropy_ggd1,anisotropy_ggd2,anisotropy_aggd1,anisotropy_aggd2,anisotropy_aggd3,anisotropy_aggd4,anisotropy_gamma1,anisotropy_gamma2,linearity_mean,linearity_std,linearity_entropy,linearity_ggd1,linearity_ggd2,linearity_aggd1,linearity_aggd2,linearity_aggd3,linearity_aggd4,linearity_gamma1,linearity_gamma2,planarity_mean,planarity_std,planarity_entropy,planarity_ggd1,planarity_ggd2,planarity_aggd1,planarity_aggd2,planarity_aggd3,planarity_aggd4,planarity_gamma1,planarity_gamma2,sphericity_mean,sphericity_std,sphericity_entropy,sphericity_ggd1,sphericity_ggd2,sphericity_aggd1,sphericity_aggd2,sphericity_aggd3,sphericity_aggd4,sphericity_gamma1,sphericity_gamma2
hhi0,31.07228851,17.79359436,5.56963306,0.467262298,4.914459705,5.090964432,-4.023293972,6.180346012,5.410364558,0.010322692,0.010812381,4.892968312,0.914,0.014948757,0.391,0.57599294,0.402712524,1.617712736,0.167331178,0.055282807,0.982710063,0.020344594,4.413803722,10,0.982920825,0.35,-0.565291645,1.654533744,0.365593463,427.7719308,0.003503701,0.361983091,0.14989619,7.113243095,10,0.391791433,2.225,-0.015499043,1.009688973,0.990483403,13876.2233,0.001272054,0.620727122,0.149878308,7.086018601,10,0.63856554,2.165,0.013486851,0.99171859,1.008477211,2767.184697,0.002849864,0.017289799,0.020344593,4.413803679,0.742,0.026699048,0.35,0.565284378,0.365589917,1.654513597,0.123014586,0.103969891
hhi1,30.93863869,17.76011276,5.562066818,0.463032871,4.891109943,5.113501781,-4.049980164,6.177939892,5.403239094,0.02642783,0.016723353,5.511647359,4.488,0.031274591,0.809,0.391235912,0.709954083,1.297157884,0.502874254,0.052936221,0.955943704,0.031076189,5.081648405,10,0.956448555,0.715,-0.461049966,1.365838647,0.644637525,205.2069037,0.007366873,0.397592157,0.17341654,7.09837072,10,0.433765709,2.982,0.054532306,0.967233658,1.033174992,244.131022,0.011062589,0.558351457,0.171124592,7.062920974,10,0.583986342,2.962,-0.048947694,1.029763937,0.970548093,305.5832122,0.009842488,0.044056375,0.031076187,5.081653607,2.55,0.053913742,0.715,0.461063036,0.64463377,1.365855336,0.279926449,1.227885461
hhi2,30.85283089,17.72496605,5.550592774,0.457684964,4.861990452,5.09140784,-4.072695255,6.169206619,5.378152273,0.041632388,0.025475627,5.049340496,6.025,0.048808429,1.438,0.231416301,0.852520883,1.156171918,10.74028557,0.007671998,0.924586535,0.049671408,4.858977728,10,0.92591989,1.274,-0.345988483,1.247841835,0.783894002,402.6475299,0.002643704,0.293181241,0.159472927,5.452747637,10,0.333746612,6.71,0.046582999,0.972552001,1.027027369,130.4653106,0.013903558,0.631405473,0.161771432,5.433731824,10,0.651799619,5.082,0.081356292,0.95327121,1.049119949,622.4428495,0.006465083,0.075413413,0.049671408,4.858980372,3.493,0.090301871,1.274,0.345989905,0.783893049,1.247842789,0.26775439,0.900481964
hhi3,30.90903854,17.72400093,5.538940976,0.463062733,4.879667759,5.058917145,-4.04411602,6.162533283,5.369956207,0.056822214,0.026633766,5.06077463,10,0.062754437,1.142,0.024333315,0.982786357,1.016151309,65.54582652,0.003296658,0.895939887,0.053141944,4.902897639,10,0.897514522,1.201,-0.118984787,1.078805804,0.917378783,147.5463503,0.005288875,0.296202272,0.144585341,5.345240727,10,0.329606771,2.91,-0.00023733,1.000148058,0.999860585,108.3098648,0.013809729,0.599737644,0.147454992,5.325408016,10,0.617598772,2.224,0.082686216,0.949106038,1.051570892,177.0099732,0.011079312,0.104060106,0.053141944,4.902890908,10,0.11684417,1.201,0.118985007,0.917378724,1.078806043,28.22424804,0.009818106
hhi4,30.90485573,17.68481445,5.50333124,0.463976979,4.886239529,5.011016979,-4.034187317,6.149750233,5.37480897,0.069939621,0.028654914,4.758832128,10,0.07558208,0.949,-0.030303328,1.023491263,0.980055034,80.78459633,0.003181519,0.868295729,0.059229691,4.656671296,10,0.870313525,0.871,-0.068283487,1.046966553,0.946737051,174.9909,0.008848447,0.273396492,0.141160265,4.917865395,10,0.307687759,3.469,0.127749904,0.923714995,1.076743722,4.138286528,0.072652372,0.594899118,0.14324747,4.860623852,10,0.611902595,2.375,-0.026712769,1.016675591,0.98378104,563.1848457,0.00606046,0.13170433,0.059229698,4.656671296,10,0.144409746,0.871,0.068282512,0.946737766,1.046965837,0.47841958,0.745133051
hhi5,30.95392609,17.5828743,5.411078729,0.460202157,4.855342865,4.974871167,-4.016671181,6.109971046,5.302922535,0.089216247,0.033202153,4.530828678,10,0.095194057,1.105,0.126550806,0.914826632,1.089612126,86.12424129,0.003575178,0.827356935,0.070532858,4.485316422,10,0.830357909,1.276,-0.209245846,1.145701408,0.865200758,133.3248079,0.00622602,0.260218948,0.127807155,4.609616564,10,0.289911032,2.556,0.013556802,0.990983069,1.007569671,8.894884836,0.043447817,0.567137897,0.140436664,4.553734146,10,0.584266782,1.912,-0.004307558,1.002683401,0.997256219,262.8596062,0.008725474,0.17264311,0.070532858,4.485316422,10,0.18649523,1.276,0.209244957,0.865201354,1.145700812,17.08187033,0.017375437
hhi6,31.83961678,17.77159309,7.23902907,0.472413391,5.069175243,5.904700536,-3.977901697,6.272111416,6.405447888,0.002078087,0.008907079,2.913399135,0.2,0.009146279,0.242,0.707631531,0.190168649,2.439259052,0.095502812,0.020302218,0.9964872,0.016656542,2.380871784,10,0.996626377,0.224,-0.668422966,2.489893675,0.17317906,112.5052225,0.006487844,0.407395333,0.180412799,7.225786814,10,0.445555568,4.234,0.137511696,0.922877967,1.08599627,186.3050626,0.013214291,0.589091897,0.180385515,7.2286333,10,0.616090894,4.274,-0.136238003,1.085161209,0.923618019,188.7192157,0.013182011,0.003512804,0.016656542,2.380833174,0.2,0.017022924,0.224,0.668422897,0.17317909,2.489893436,0.066728023,0.042157309
hhi7,32.00372696,17.93273163,7.236320812,0.782363951,8.673235893,6.111859482,-3.789230585,9.379908562,6.437599581,0.002078087,0.008907079,2.913399135,0.2,0.009146279,0.242,0.707631531,0.190168649,2.439259052,0.095502812,0.020302218,0.9964872,0.016656542,2.380871784,10,0.996626377,0.224,-0.668422966,2.489893675,0.17317906,112.5052225,0.006487844,0.407395333,0.180412799,7.225786814,10,0.445555568,4.234,0.137511696,0.922877967,1.08599627,186.3050626,0.013214291,0.589091897,0.180385515,7.2286333,10,0.616090894,4.274,-0.136238003,1.085161209,0.923618019,188.7192157,0.013182011,0.003512804,0.016656542,2.380833174,0.2,0.017022924,0.224,0.668422897,0.17317909,2.489893436,0.066728023,0.042157309
hhi8,32.23746109,18.13397789,7.249043703,1.156051993,11.71638966,6.309855603,-3.560546875,12.30079842,6.577436831,0.002078087,0.008907079,2.913399135,0.2,0.009146279,0.242,0.707631531,0.190168649,2.439259052,0.095502812,0.020302218,0.9964872,0.016656542,2.380871784,10,0.996626377,0.224,-0.668422966,2.489893675,0.17317906,112.5052225,0.006487844,0.407395333,0.180412799,7.225786814,10,0.445555568,4.234,0.137511696,0.922877967,1.08599627,186.3050626,0.013214291,0.589091897,0.180385515,7.2286333,10,0.616090894,4.274,-0.136238003,1.085161209,0.923618019,188.7192157,0.013182011,0.003512804,0.016656542,2.380833174,0.2,0.017022924,0.224,0.668422897,0.17317909,2.489893436,0.066728023,0.042157309
hhi9,32.62488556,18.42653847,7.25418451,1.663808107,15.1009531,6.530666751,-3.204054117,15.69297218,6.713051619,0.002078087,0.008907079,2.913399135,0.2,0.009146279,0.242,0.707631531,0.190168649,2.439259052,0.095502812,0.020302218,0.9964872,0.016656542,2.380871784,10,0.996626377,0.224,-0.668422966,2.489893675,0.17317906,112.5052225,0.006487844,0.407395333,0.180412799,7.225786814,10,0.445555568,4.234,0.137511696,0.922877967,1.08599627,186.3050626,0.013214291,0.589091897,0.180385515,7.2286333,10,0.616090894,4.274,-0.136238003,1.085161209,0.923618019,188.7192157,0.013182011,0.003512804,0.016656542,2.380833174,0.2,0.017022924,0.224,0.668422897,0.17317909,2.489893436,0.066728023,0.042157309
