name,l_mean,l_std,l_entropy,a_mean,a_std,a_entropy,b_mean,b_std,b_entropy,curvature_mean,curvature_std,curvature_entropy,curvature_ggd1,curvature_ggd2,curvature_aggd1,curvature_aggd2,curvature_aggd3,curvature_aggd4,curvature_gamma1,curvature_gamma2,anisotropy_mean,anisotropy_std,anisotropy_entropy,anisotropy_ggd1,anisotropy_ggd2,anisotropy_aggd1,anisotropy_aggd2,anisotropy_aggd3,anisotropy_aggd4,anisotropy_gamma1,anisotropy_gamma2,linearity_mean,linearity_std,linearity_entropy,linearity_ggd1,linearity_ggd2,linearity_aggd1,linearity_aggd2,linearity_aggd3,linearity_aggd4,linearity_gamma1,linearity_gamma2,planarity_mean,planarity_std,planarity_entropy,planarity_ggd1,planarity_ggd2,planarity_aggd1,planarity_aggd2,planarity_aggd3,planarity_aggd4,planarity_gamma1,planarity_gamma2,sphericity_mean,sphericity_std,sphericity_entropy,sphericity_ggd1,sphericity_ggd2,sphericity_aggd1,sphericity_aggd2,sphericity_aggd3,sphericity_aggd4,sphericity_gamma1,sphericity_gamma2
bag_gQP_1_tQP_1.ply,46.45375816,21.57861496,6.784859146,3.289591867,5.760626614,5.062160826,5.6122032,12.73476656,5.520457,0.025641557,0.024794931,4.655487106,1.071,0.03566901,0.629,0.443598746,0.627507746,1.356213927,1.069456616,0.023976247,0.954170704,0.048930962,4.453496185,10,0.955424845,0.608,-0.517239871,1.430979013,0.56923902,380.2637616,0.002509234,0.303723752,0.176446542,5.234694936,10,0.351257086,10,0.039366996,0.977164268,1.022910953,2.962998881,0.10250552,0.65044719,0.179287255,5.250951623,10,0.674704015,10,-0.013703372,1.007900476,0.99197638,13.16210909,0.049418161,0.045828953,0.048930958,4.453496549,0.881,0.06704127,0.608,0.517245345,0.569233239,1.430982351,0.877228436,0.052242895
bag_gQP_1_tQP_2.ply,46.4976557,20.50877083,6.677271069,3.294959239,5.705786056,5.10575026,5.524889287,12.58713733,5.209349863,0.025641557,0.024794931,4.655487106,1.071,0.03566901,0.629,0.443598746,0.627507746,1.356213927,1.069456616,0.023976247,0.954170704,0.048930962,4.453496185,10,0.955424845,0.608,-0.517239871,1.430979013,0.56923902,380.2637616,0.002509234,0.303723752,0.176446542,5.234694936,10,0.351257086,10,0.039366996,0.977164268,1.022910953,2.962998881,0.10250552,0.65044719,0.179287255,5.250951623,10,0.674704015,10,-0.013703372,1.007900476,0.99197638,13.16210909,0.049418161,0.045828953,0.048930958,4.453496549,0.881,0.06704127,0.608,0.517245345,0.569233239,1.430982351,0.877228436,0.052242895
bag_gQP_1_tQP_3.ply,46.69680581,19.69140958,6.549815536,4.094116035,5.843355147,5.269946021,5.891466442,12.23591878,5.036764091,0.025641557,0.024794931,4.655487106,1.071,0.03566901,0.629,0.443598746,0.627507746,1.356213927,1.069456616,0.023976247,0.954170704,0.048930962,4.453496185,10,0.955424845,0.608,-0.517239871,1.430979013,0.56923902,380.2637616,0.002509234,0.303723752,0.176446542,5.234694936,10,0.351257086,10,0.039366996,0.977164268,1.022910953,2.962998881,0.10250552,0.65044719,0.179287255,5.250951623,10,0.674704015,10,-0.013703372,1.007900476,0.99197638,13.16210909,0.049418161,0.045828953,0.048930958,4.453496549,0.881,0.06704127,0.608,0.517245345,0.569233239,1.430982351,0.877228436,0.052242895
bag_gQP_2_tQP_1.ply,46.39358056,21.60906727,6.782802701,3.219846363,5.507923078,5.093064855,5.513814399,12.53950331,5.469338921,0.022422383,0.02352662,4.365609342,0.911,0.03250023,0.649,0.339034722,0.689306974,1.239291668,0.908332171,0.024685223,0.960213065,0.046220526,4.192208736,10,0.961324811,0.594,-0.50073977,1.419626951,0.577024877,431.5844422,0.002224855,0.307982922,0.184026256,5.037616837,8.297,0.358774483,10,0.028954902,0.983061135,1.016708374,2.80087657,0.109959477,0.652230144,0.187201217,5.05018918,10,0.678563356,10,0.004859131,0.997220755,1.002867341,12.13904989,0.05372992,0.03978698,0.046220526,4.19220961,0.758,0.060986392,0.594,0.500738884,0.577025771,1.419626355,0.740990336,0.053694333
bag_gQP_2_tQP_2.ply,46.44090815,20.47229227,6.665483048,3.318840228,5.487758054,5.092366535,5.812893297,12.20594597,4.987552836,0.022422383,0.02352662,4.365609342,0.911,0.03250023,0.649,0.339034722,0.689306974,1.239291668,0.908332171,0.024685223,0.960213065,0.046220526,4.192208736,10,0.961324811,0.594,-0.50073977,1.419626951,0.577024877,431.5844422,0.002224855,0.307982922,0.184026256,5.037616837,8.297,0.358774483,10,0.028954902,0.983061135,1.016708374,2.80087657,0.109959477,0.652230144,0.187201217,5.05018918,10,0.678563356,10,0.004859131,0.997220755,1.002867341,12.13904989,0.05372992,0.03978698,0.046220526,4.19220961,0.758,0.060986392,0.594,0.500738884,0.577025771,1.419626355,0.740990336,0.053694333
bag_gQP_2_tQP_3.ply,46.53277906,19.75728454,6.603084966,3.389487664,5.400883702,5.190476579,5.456670092,12.05037397,5.092037969,0.022422383,0.02352662,4.365609342,0.911,0.03250023,0.649,0.339034722,0.689306974,1.239291668,0.908332171,0.024685223,0.960213065,0.046220526,4.192208736,10,0.961324811,0.594,-0.50073977,1.419626951,0.577024877,431.5844422,0.002224855,0.307982922,0.184026256,5.037616837,8.297,0.358774483,10,0.028954902,0.983061135,1.016708374,2.80087657,0.109959477,0.652230144,0.187201217,5.05018918,10,0.678563356,10,0.004859131,0.997220755,1.002867341,12.13904989,0.05372992,0.03978698,0.046220526,4.19220961,0.758,0.060986392,0.594,0.500738884,0.577025771,1.419626355,0.740990336,0.053694333
bag_gQP_3_tQP_1.ply,46.10173251,21.64880114,6.859881769,3.265856909,5.624878247,5.140180317,5.550387223,12.29980284,5.579491885,0.018915398,0.022614639,3.895335071,0.722,0.029482434,0.906,0.373370084,0.703255594,1.245209336,0.699603301,0.027037319,0.966290772,0.043663025,3.73701707,10,0.967276871,0.775,-0.437304539,1.305269122,0.639821291,489.7655658,0.001972966,0.295252353,0.197087571,4.712070827,3.257,0.35498929,10,0.125070801,0.928296089,1.073635459,2.244235874,0.131560297,0.671038568,0.20013082,4.718789311,10,0.700246632,10,-0.078538569,1.045855045,0.954588771,11.2426133,0.059687063,0.033708978,0.043663021,3.737022609,0.635,0.055161152,0.775,0.437309983,0.639816105,1.305272222,0.596024148,0.056556399
bag_gQP_3_tQP_2.ply,46.19513072,20.49716553,6.59784253,3.486613154,5.480464859,5.062830989,5.346894623,12.1589542,5.11728714,0.018915398,0.022614639,3.895335071,0.722,0.029482434,0.906,0.373370084,0.703255594,1.245209336,0.699603301,0.027037319,0.966290772,0.043663025,3.73701707,10,0.967276871,0.775,-0.437304539,1.305269122,0.639821291,489.7655658,0.001972966,0.295252353,0.197087571,4.712070827,3.257,0.35498929,10,0.125070801,0.928296089,1.073635459,2.244235874,0.131560297,0.671038568,0.20013082,4.718789311,10,0.700246632,10,-0.078538569,1.045855045,0.954588771,11.2426133,0.059687063,0.033708978,0.043663021,3.737022609,0.635,0.055161152,0.775,0.437309983,0.639816105,1.305272222,0.596024148,0.056556399
bag_gQP_3_tQP_3.ply,46.24933872,19.75922945,6.615069293,3.54488912,5.685472366,5.230306386,5.521703908,12.02463578,5.193491195,0.018915398,0.022614639,3.895335071,0.722,0.029482434,0.906,0.373370084,0.703255594,1.245209336,0.699603301,0.027037319,0.966290772,0.043663025,3.73701707,10,0.967276871,0.775,-0.437304539,1.305269122,0.639821291,489.7655658,0.001972966,0.295252353,0.197087571,4.712070827,3.257,0.35498929,10,0.125070801,0.928296089,1.073635459,2.244235874,0.131560297,0.671038568,0.20013082,4.718789311,10,0.700246632,10,-0.078538569,1.045855045,0.954588771,11.2426133,0.059687063,0.033708978,0.043663021,3.737022609,0.635,0.055161152,0.775,0.437309983,0.639816105,1.305272222,0.596024148,0.056556399
bag_gsigma_0_tsigma_16.ply,46.05524338,22.61883885,7.313939319,3.451731085,12.87493109,6.729282577,5.839787526,16.74435325,6.70850357,0.055581629,0.044162165,6.687024936,1.719,0.07099022,1.843,0.6168371,0.650503874,1.431182504,1.58402564,0.035088846,0.900598526,0.088693127,6.251454552,10,0.904955685,1.365,-0.683558793,1.503421664,0.598407209,103.1057553,0.008734707,0.370660901,0.155797482,7.197600168,10,0.402072579,2.734,0.020471664,0.987525702,1.012437344,5.660215908,0.06548529,0.529937863,0.176151067,7.267449943,10,0.558447242,2.406,-0.071036545,1.043934464,0.9565624,9.050648221,0.058552472,0.09940125,0.088693142,6.251455121,1.278,0.133218139,1.365,0.683558883,0.598405063,1.503419638,1.256041172,0.079138523
